"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",100
"2",2011,"non_critical","MC","Low",100
"3",2011,"critical","MC","Low",100
"4",2012,"non_critical","MC","Low",100
"5",2012,"critical","MC","Low",100
"6",2013,"non_critical","MC","Low",100
"7",2013,"critical","MC","Low",100
"8",2014,"non_critical","MC","Low",100
"9",2014,"critical","MC","Low",100
"10",2015,"non_critical","MC","Low",100
"11",2015,"critical","MC","Low",100
"12",2016,"non_critical","MC","Low",100
"13",2016,"critical","MC","Low",100
"14",2017,"non_critical","MC","Low",100
"15",2017,"critical","MC","Low",100
"16",2010,"non_critical","LOB","Low",100
"17",2011,"non_critical","LOB","Low",100
"18",2011,"critical","LOB","Low",100
"19",2012,"non_critical","LOB","Low",100
"20",2012,"critical","LOB","Low",100
"21",2013,"non_critical","LOB","Low",100
"22",2013,"critical","LOB","Low",100
"23",2014,"non_critical","LOB","Low",100
"24",2014,"critical","LOB","Low",100
"25",2015,"non_critical","LOB","Low",100
"26",2015,"critical","LOB","Low",100
"27",2016,"non_critical","LOB","Low",100
"28",2016,"critical","LOB","Low",100
"29",2017,"non_critical","LOB","Low",100
"30",2017,"critical","LOB","Low",100
"31",2010,"non_critical","ROB","Low",100
"32",2011,"non_critical","ROB","Low",100
"33",2011,"critical","ROB","Low",100
"34",2012,"non_critical","ROB","Low",100
"35",2012,"critical","ROB","Low",100
"36",2013,"non_critical","ROB","Low",100
"37",2013,"critical","ROB","Low",100
"38",2014,"non_critical","ROB","Low",100
"39",2014,"critical","ROB","Low",100
"40",2015,"non_critical","ROB","Low",100
"41",2015,"critical","ROB","Low",100
"42",2016,"non_critical","ROB","Low",100
"43",2016,"critical","ROB","Low",100
"44",2017,"non_critical","ROB","Low",100
"45",2017,"critical","ROB","Low",100
"46",2010,"non_critical","MC","Medium",13.6384231989125
"47",2011,"non_critical","MC","Medium",7.14611872146119
"48",2011,"critical","MC","Medium",7.14611872146119
"49",2012,"non_critical","MC","Medium",2.83469945355191
"50",2012,"critical","MC","Medium",2.83469945355191
"51",2013,"non_critical","MC","Medium",1.6324200913242
"52",2013,"critical","MC","Medium",1.6324200913242
"53",2014,"non_critical","MC","Medium",1.33561643835616
"54",2014,"critical","MC","Medium",1.33561643835616
"55",2015,"non_critical","MC","Medium",1.58675799086758
"56",2015,"critical","MC","Medium",1.58675799086758
"57",2016,"non_critical","MC","Medium",1.99225865209472
"58",2016,"critical","MC","Medium",1.99225865209472
"59",2017,"non_critical","MC","Medium",3.63247863247863
"60",2017,"critical","MC","Medium",3.63247863247863
"61",2010,"non_critical","LOB","Medium",9.65111010421387
"62",2011,"non_critical","LOB","Medium",2.75114155251142
"63",2011,"critical","LOB","Medium",2.75114155251142
"64",2012,"non_critical","LOB","Medium",1.63934426229508
"65",2012,"critical","LOB","Medium",1.63934426229508
"66",2013,"non_critical","LOB","Medium",0.901826484018265
"67",2013,"critical","LOB","Medium",0.901826484018265
"68",2014,"non_critical","LOB","Medium",1.10730593607306
"69",2014,"critical","LOB","Medium",1.10730593607306
"70",2015,"non_critical","LOB","Medium",1.02739726027397
"71",2015,"critical","LOB","Medium",1.02739726027397
"72",2016,"non_critical","LOB","Medium",1.22950819672131
"73",2016,"critical","LOB","Medium",1.22950819672131
"74",2017,"non_critical","LOB","Medium",2.45726495726496
"75",2017,"critical","LOB","Medium",2.45726495726496
"76",2010,"non_critical","ROB","Medium",4.34979610330766
"77",2011,"non_critical","ROB","Medium",0.821917808219178
"78",2011,"critical","ROB","Medium",0.821917808219178
"79",2012,"non_critical","ROB","Medium",0.63752276867031
"80",2012,"critical","ROB","Medium",0.63752276867031
"81",2013,"non_critical","ROB","Medium",0.285388127853881
"82",2013,"critical","ROB","Medium",0.285388127853881
"83",2014,"non_critical","ROB","Medium",0.410958904109589
"84",2014,"critical","ROB","Medium",0.410958904109589
"85",2015,"non_critical","ROB","Medium",0.365296803652968
"86",2015,"critical","ROB","Medium",0.365296803652968
"87",2016,"non_critical","ROB","Medium",0.614754098360656
"88",2016,"critical","ROB","Medium",0.614754098360656
"89",2017,"non_critical","ROB","Medium",0.976800976800977
"90",2017,"critical","ROB","Medium",0.976800976800977
"91",2010,"non_critical","MC","High",7.6121431807884
"92",2011,"non_critical","MC","High",4.25799086757991
"93",2011,"critical","MC","High",4.25799086757991
"94",2012,"non_critical","MC","High",1.41165755919854
"95",2012,"critical","MC","High",1.41165755919854
"96",2013,"non_critical","MC","High",0.821917808219178
"97",2013,"critical","MC","High",0.821917808219178
"98",2014,"non_critical","MC","High",0.742009132420091
"99",2014,"critical","MC","High",0.742009132420091
"100",2015,"non_critical","MC","High",0.93607305936073
"101",2015,"critical","MC","High",0.93607305936073
"102",2016,"non_critical","MC","High",1.00182149362477
"103",2016,"critical","MC","High",1.00182149362477
"104",2017,"non_critical","MC","High",2.01465201465201
"105",2017,"critical","MC","High",2.01465201465201
"106",2010,"non_critical","LOB","High",4.21386497507929
"107",2011,"non_critical","LOB","High",1.02739726027397
"108",2011,"critical","LOB","High",1.02739726027397
"109",2012,"non_critical","LOB","High",0.956284153005465
"110",2012,"critical","LOB","High",0.956284153005465
"111",2013,"non_critical","LOB","High",0.525114155251142
"112",2013,"critical","LOB","High",0.525114155251142
"113",2014,"non_critical","LOB","High",0.627853881278539
"114",2014,"critical","LOB","High",0.627853881278539
"115",2015,"non_critical","LOB","High",0.513698630136986
"116",2015,"critical","LOB","High",0.513698630136986
"117",2016,"non_critical","LOB","High",0.660291438979964
"118",2016,"critical","LOB","High",0.660291438979964
"119",2017,"non_critical","LOB","High",1.57203907203907
"120",2017,"critical","LOB","High",1.57203907203907
"121",2010,"non_critical","ROB","High",2.5373810602628
"122",2011,"non_critical","ROB","High",0.547945205479452
"123",2011,"critical","ROB","High",0.547945205479452
"124",2012,"non_critical","ROB","High",0.341530054644809
"125",2012,"critical","ROB","High",0.341530054644809
"126",2013,"non_critical","ROB","High",0.136986301369863
"127",2013,"critical","ROB","High",0.136986301369863
"128",2014,"non_critical","ROB","High",0.23972602739726
"129",2014,"critical","ROB","High",0.23972602739726
"130",2015,"non_critical","ROB","High",0.262557077625571
"131",2015,"critical","ROB","High",0.262557077625571
"132",2016,"non_critical","ROB","High",0.341530054644809
"133",2016,"critical","ROB","High",0.341530054644809
