"","water_year","month","TimePeriod","position","Node","Species","Life_Stage","Hydraulic","bottom_type","WYT","Low","Medium","High","Suitability_Class"
"1",2010,1,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",15,1,0,"Partial"
"2",2010,1,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",29,28,25,"High"
"3",2010,1,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",18,1,0,"Partial"
"4",2011,1,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"5",2011,1,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",29,29,29,"High"
"6",2011,1,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"7",2012,1,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"8",2012,1,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",29,29,28,"High"
"9",2012,1,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"10",2013,1,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"11",2013,1,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",31,31,31,"High"
"12",2013,1,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"13",2014,1,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"14",2014,1,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",30,30,24,"High"
"15",2014,1,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"16",2015,1,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"17",2015,1,"Annual","MC","11101250","Typha","Adult","Depth","Soft","MODERATE",27,27,20,"Partial"
"18",2015,1,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"19",2016,1,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",2,1,0,"Low"
"20",2016,1,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",22,22,16,"Partial"
"21",2016,1,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",2,1,0,"Low"
"22",2010,2,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",1,0,0,"Low"
"23",2010,2,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",22,22,20,"Partial"
"24",2010,2,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",1,1,0,"Low"
"25",2011,2,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"26",2011,2,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",28,28,27,"High"
"27",2011,2,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"28",2012,2,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"29",2012,2,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",26,26,26,"High"
"30",2012,2,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"31",2013,2,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"32",2013,2,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",25,25,25,"High"
"33",2013,2,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"34",2014,2,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"35",2014,2,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",26,26,26,"High"
"36",2014,2,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"37",2015,2,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"38",2015,2,"Annual","MC","11101250","Typha","Adult","Depth","Soft","MODERATE",27,27,14,"Partial"
"39",2015,2,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"40",2016,2,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"41",2016,2,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",23,23,18,"Partial"
"42",2016,2,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"43",2010,3,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",11,6,0,"Partial"
"44",2010,3,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",26,26,20,"Partial"
"45",2010,3,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",11,6,0,"Partial"
"46",2011,3,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",3,0,0,"Low"
"47",2011,3,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",28,26,26,"High"
"48",2011,3,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",3,0,0,"Low"
"49",2012,3,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"50",2012,3,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",29,29,29,"High"
"51",2012,3,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"52",2013,3,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",1,0,0,"Low"
"53",2013,3,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",30,30,30,"High"
"54",2013,3,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",1,0,0,"Low"
"55",2014,3,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"56",2014,3,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",29,30,11,"Partial"
"57",2014,3,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"58",2015,3,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"59",2015,3,"Annual","MC","11101250","Typha","Adult","Depth","Soft","MODERATE",28,28,28,"High"
"60",2015,3,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"61",2016,3,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"62",2016,3,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",31,31,30,"High"
"63",2016,3,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"64",2010,4,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",12,11,2,"Partial"
"65",2010,4,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",24,23,13,"Partial"
"66",2010,4,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",12,11,2,"Partial"
"67",2011,4,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",7,0,0,"Partial"
"68",2011,4,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",27,27,26,"High"
"69",2011,4,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",8,0,0,"Partial"
"70",2012,4,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"71",2012,4,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",30,30,30,"High"
"72",2012,4,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"73",2013,4,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"74",2013,4,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",29,29,28,"High"
"75",2013,4,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"76",2014,4,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"77",2014,4,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",22,22,2,"Partial"
"78",2014,4,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"79",2015,4,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"80",2015,4,"Annual","MC","11101250","Typha","Adult","Depth","Soft","MODERATE",28,28,27,"High"
"81",2015,4,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"82",2016,4,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"83",2016,4,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",30,30,30,"High"
"84",2016,4,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"85",2010,5,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",4,4,0,"Low"
"86",2010,5,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",31,31,25,"High"
"87",2010,5,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",4,4,0,"Low"
"88",2011,5,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"89",2011,5,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",31,31,31,"High"
"90",2011,5,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"91",2012,5,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"92",2012,5,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",29,28,28,"High"
"93",2012,5,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"94",2013,5,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"95",2013,5,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",31,31,31,"High"
"96",2013,5,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"97",2014,5,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",1,0,0,"Low"
"98",2014,5,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",26,27,2,"Partial"
"99",2014,5,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",1,0,0,"Low"
"100",2015,5,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"101",2015,5,"Annual","MC","11101250","Typha","Adult","Depth","Soft","MODERATE",30,30,29,"High"
"102",2015,5,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"103",2016,5,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"104",2016,5,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",31,31,30,"High"
"105",2016,5,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"106",2010,6,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",20,13,0,"Partial"
"107",2010,6,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",30,27,14,"Partial"
"108",2010,6,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",20,13,0,"Partial"
"109",2011,6,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"110",2011,6,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",30,30,30,"High"
"111",2011,6,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"112",2012,6,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"113",2012,6,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",30,30,30,"High"
"114",2012,6,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"115",2013,6,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"116",2013,6,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",30,30,30,"High"
"117",2013,6,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"118",2014,6,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"119",2014,6,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",21,22,3,"Partial"
"120",2014,6,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"121",2015,6,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"122",2015,6,"Annual","MC","11101250","Typha","Adult","Depth","Soft","MODERATE",30,30,30,"High"
"123",2015,6,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"124",2016,6,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",8,7,0,"Partial"
"125",2016,6,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",30,27,21,"High"
"126",2016,6,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",8,8,0,"Partial"
"127",2010,7,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",5,0,0,"Low"
"128",2010,7,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",31,31,31,"High"
"129",2010,7,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",8,0,0,"Partial"
"130",2011,7,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"131",2011,7,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",31,31,31,"High"
"132",2011,7,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"133",2012,7,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"134",2012,7,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",31,31,31,"High"
"135",2012,7,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"136",2013,7,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"137",2013,7,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",31,31,31,"High"
"138",2013,7,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"139",2014,7,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"140",2014,7,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",22,22,8,"Partial"
"141",2014,7,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"142",2015,7,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"143",2015,7,"Annual","MC","11101250","Typha","Adult","Depth","Soft","MODERATE",31,31,31,"High"
"144",2015,7,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"145",2016,7,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",25,25,0,"Partial"
"146",2016,7,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",30,11,5,"Partial"
"147",2016,7,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",25,25,0,"Partial"
"148",2010,8,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",10,2,0,"Partial"
"149",2010,8,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",31,31,28,"High"
"150",2010,8,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",11,3,0,"Partial"
"151",2011,8,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"152",2011,8,"Annual","MC","11101250","Typha","Adult","Depth","Soft","WET",30,30,30,"High"
"153",2011,8,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","WET",0,0,0,"Low"
"154",2012,8,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"155",2012,8,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",31,31,31,"High"
"156",2012,8,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"157",2013,8,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"158",2013,8,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",31,31,31,"High"
"159",2013,8,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"160",2014,8,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"161",2014,8,"Annual","MC","11101250","Typha","Adult","Depth","Soft","DRY",19,20,3,"Partial"
"162",2014,8,"Annual","ROB","11101250","Typha","Adult","Depth","Soft","DRY",0,0,0,"Low"
"163",2015,8,"Annual","LOB","11101250","Typha","Adult","Depth","Soft","MODERATE",0,0,0,"Low"
"164",2015,8,"Annual","MC","11101250","Typha","Adult","Depth","Soft","MODERATE",31,31,31,"High"
