Point ,Section ,Channel width (m) ,Max depth (cm) ,Depth edge East (cm) ,Depth edge West (cm) ,East  bank ,West bank,Mud/Silt ,Sand ,Gravel,Cobble,Boulder
9,1,3.85,16,1,6,70,80,0,5,70,25,0
11,1,9.8,36,3,5,70,85,0,10,20,70,0
13,1,9.3,35,3,5,5,100,0,5,75,20,0
20,2,7.3,32.5,22,5,100,100,5,40,20,30,5
22,2,6.75,37,2,21,10,75,5,10,10,75,0
24,2,7.9,70.5,5.1,3.1,0,10,0,50,15,30,5
31,3,10.6,23,6,6,80,80,1,59,40,0,0
33,3,8.35,25,2,5,50,100,2,28,60,10,0
35,4,6.3,41,9,2,50,0,0,50,50,0,0
42,4,15.3,37,9.2,8,100,100,0,100,0,0,0
44,5,10.6,27,5,6,75,60,0,95,0,5,0
46,5,17.3,25,5,6,100,100,0,98,2,0,0
53,7,41.2,34,6,6,100,100,10,75,15,0,0
55,7,29.5,19,4,4,100,100,5,95,0,0,0
57,7,49.1,19,15,3,100,100,20,79,1,0,0
64,7,34.8,31,11,6,100,100,0,97,3,0,0
66,7,43.4,42,14,14,100,100,1,99,0,0,0
68,7,28.9,41,3,11,100,100,15,85,0,0,0
68,7,6.7,21,13,13,100,100,10,90,0,0,0
74,8,9.6,28,23,11,85,100,0,100,0,0,0
74,8,18.7,31,7,5,85,100,0,100,0,0,0
77,8,30.7,44,9,10,100,100,15,85,0,0,0
79,9,17.4,26,5,15,100,100,20,73,7,0,0
79,9,19.1,33,5,9,100,100,10,3,87,0,0
86,10,31.7,37,18,2.5,100,100,5,95,0,0,0
86,10,6.6,12,10,2,100,40,25,65,10,0,0
86,10,9.9,13,3,1,100,100,20,80,0,0,0
88,10,45,38,4,5,100,100,0,100,0,0,0
88,10,7,11,3,3,100,100,30,70,0,0,0
90,10,61.8,33,7,9,100,100,2,98,0,0,0
97,11,31.8,37,11,7,100,100,0,100,0,0,0
99,11,29.3,35,5,16,100,100,0,100,0,0,0
101,12,33.5,49,7,22,0,70,0,99,<1 ,0,0
108,12,28.4,59,12.5,7,100,100,0,100,0,0,0
110,12,22.9,42,21,15,100,100,2,98,0,0,0
112,13,30,45,9,5,100,100,0,100,0,0,0
119,13,39.8,37,2,9,20,100,5,95,0,0,0
121,13,53.5,24,7,15,100,100,0,98,2,0,0
