LAR_sites,sampledate,sitename,sitedesc,targetlatitude,targetlongitude,actuallatitude,actuallongitude,grouptype,variablename,result,unit
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Filamentous Algae present,11.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Shelter Types Richness - EMAP (without LTR),3.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Shelter Types Richness - SWAMP (with LTR),3.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Aquatic Macrophytes/Emergent Vegetation cover present,1.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Woody Debris <0.3m cover present,11.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Artificial Structures cover present,0.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Live tree Roots cover present,0.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Woody Debris >0.3m cover present,0.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Overhanging Vegetation cover present,0.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Boulders cover present,0.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Undercut Banks cover present,0.0,count
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Habitat Complexity and Cover,Evenness of Aquatic Habitat Types,0.28,None
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Channel Morphology,Evenness of Flow Habitat Types,0.24,None
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Substrate Size and Composition,Evenness of Natural Substrate Types,0.0,None
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Velocity and Discharge,Flow Discharge - Neutral Buoyant Object (cfs),,ft3/s
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Velocity and Discharge,Flow Discharge - Neutral Buoyant Object (metric),,m3/s
412CE0232,7/16/2015 12:00:00 AM,LAR,Los Angeles River ~0.4mi above Hwy 101,34.15916667,-118.4558333,34.15931,-118.4578,Velocity and Discharge,Flow Discharge (Q) (cfs),65.956,ft3/s
