Point ,Section ,Water Temp (C°) ,DO (mg/L) ,DO% ,TDS (ppm) ,pH ,Conductivity ,Salinity (ppm) 
9,1,25.6,11.2,91,604,7.21,808,418
11,1,25,6.3,80,432,6.64,595,345
13,1,25.1,9.6,85,531,6.8,765,385
20,2,23.9,5.7,65,502,7.7,706,350
22,2,26.1,6.6,77,521,7.9,747,372
24,2,28.3,6.6,84,526,7.8,751,376
31,3,23.3,5.3,62,514,7.7,731,367
33,3,24.7,5.8,69,527,7.9,753,377
35,4,26.9,6.5,81,490,8,717,358
42,4,20.1,6.6,78,489,8,689,494
44,5,22.2,6.4,77,364,8.1,730,507
46,5,23.2,7.4,61,530,7.9,763,380
53,7,18,6.6,77,839,7.21,1192,587
55,7,18.5,7,80,781,7.35,1117,548
57,7,19.4,7.5,86,776,7.43,1109,545
64,7,26.2,5.8,69,763,7.13,1094,535
66,7,21.5,6.1,72,777,7.24,1100,542
68,7,24.7,6.7,74,774,7,1112,550
74,8,26.2,5.9,72,750,7.24,1070,523
77,8,23.2,6.2,74,758,7.25,1089,535
79,9,27.1,6.2,73,597,7.31,857,421
86,10,19.9,7.6,83,579,8.1,764,408
88,10,21.4,6.9,81,616,8.2,881,440
90,10,23.7,7.4,88,626,8.2,894,446
97,11,22.7,7.2,85,671,8.2,959,479
99,11,21.2,7.8,91,955,8.1,977,42
101,12,20.2,7.1,85,58,8.2,958,473
108,12,19.1,6.4,78,581,8.1,819,418
110,12,21.3,6.9,82,628,8.2,893,444
112,13,21.1,12,89,639,8.2,918,458
119,13,25.7,7,84,628,8.2,895,443
121,13,27.4,6.5,76,651,8.2,933,469
