Location,Section,Starting Latitude,Starting Longitude,Ending Latitude,Ending Longitude,Date,Start Time,End Time,Observer,Recorder,Species,Count,"Estimated Total
Length (mm)",Distance of fish above bottom (cm),Velocity at fish (m/s),Total Depth (cm),Vel (0.6) m/s,Vel (0.2) m/s,Vel (0.8) m/s,Dominant Substrate,Distance from cover (m),Cover Type,GCU,Activity,Comments
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Santa Ana Sucker,5,60,2,0.3,30,0.59,NA,NA,GV,0,OV,RUN,HOLD,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Santa Ana Sucker,5,80,0,0.35,30,0.33,NA,NA,GV,0,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Arroyo Chub,3,80,5,0.38,31,0.38,NA,NA,GV,0,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Arroyo Chub,5,60,5,0.37,31,0.43,NA,NA,GV,0,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Arroyo Chub,10,60,4,0.3,43,0.35,NA,NA,SA,0.3,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Arroyo Chub,6,70,5,0.32,23,0.46,NA,NA,SA,0.5,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Santa Ana Sucker,5,60,0,0.09,24,0.73,NA,NA,GV,0.8,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Arroyo Chub,1,70,8,0.37,24,0.73,NA,NA,GV,0.8,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Santa Ana Sucker,5,110,0,0.38,32,0.66,NA,NA,GV,0.8,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Santa Ana Sucker,1,70,0,0.43,32,0.62,NA,NA,GV,1,BO,RIFFLE,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Santa Ana Sucker,5,60,0,0.18,34,0.56,NA,NA,GV,1,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Santa Ana Sucker,2,90,0,0.18,34,0.56,NA,NA,GV,1,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Arroyo Chub,2,80,10,0.48,34,0.56,NA,NA,GV,1,OV,RUN,FEED,
Crossover Channel,4,34.03299,-117.3561,34.03493,-117.35665,9/20/2016,935,1035,Larry Brown,Jason May,Arroyo Chub,5,60,10,0.48,34,0.56,NA,NA,GV,1,OV,RUN,FEED,
