"","LOB","MC","ROB","Species","Life_Stage","Hydraulic","Node"
"1",6444.99275189409,7449.44287086125,5405.83722338758,"Typha","Adult","Depth","LA14"
"2",NA,NA,NA,"Typha","Adult","Depth","LA14"
"3",NA,NA,NA,"Typha","Adult","Depth","LA14"
"4",NA,NA,NA,"Typha","Adult","Depth","LA14"
"5",112.540406851873,271.087858075988,72.713656084233,"Typha","Adult","Depth","LA14"
"6",5352.46850891851,6399.50417930414,4417.50366561015,"Typha","Adult","Depth","LA14"
"7",NA,NA,NA,"Typha","Adult","Depth","LA14"
"8",NA,NA,NA,"Typha","Adult","Depth","LA14"
"9",659.783555132649,1176.17764860832,461.96507238801,"Typha","Adult","Depth","LA14"
"10",3919.67832598788,4966.15417017009,3147.57554294758,"Typha","Adult","Depth","LA14"
"11",NA,NA,NA,"Typha","Adult","Depth","LA14"
"12",NA,NA,NA,"Typha","Adult","Depth","LA14"
