"","water_year","position","season","days_per_water_year"
"1",2010,"LOB","Fry_season",NA
"2",2010,"LOB","other_season",NA
"3",2010,"MC","Fry_season",0
"4",2010,"MC","other_season",0
"5",2010,"ROB","Fry_season",NA
"6",2010,"ROB","other_season",NA
"7",2011,"LOB","Fry_season",NA
"8",2011,"LOB","other_season",NA
"9",2011,"MC","Fry_season",0
"10",2011,"MC","other_season",0
"11",2011,"ROB","Fry_season",NA
"12",2011,"ROB","other_season",NA
"13",2012,"LOB","Fry_season",NA
"14",2012,"LOB","other_season",NA
"15",2012,"MC","Fry_season",0
"16",2012,"MC","other_season",0
"17",2012,"ROB","Fry_season",NA
"18",2012,"ROB","other_season",NA
"19",2013,"LOB","Fry_season",NA
"20",2013,"LOB","other_season",NA
"21",2013,"MC","Fry_season",0
"22",2013,"MC","other_season",0
"23",2013,"ROB","Fry_season",NA
"24",2013,"ROB","other_season",NA
"25",2014,"LOB","Fry_season",NA
"26",2014,"LOB","other_season",NA
"27",2014,"MC","Fry_season",0
"28",2014,"MC","other_season",0
"29",2014,"ROB","Fry_season",NA
"30",2014,"ROB","other_season",NA
"31",2015,"LOB","Fry_season",NA
"32",2015,"LOB","other_season",NA
"33",2015,"MC","Fry_season",0
"34",2015,"MC","other_season",0
"35",2015,"ROB","Fry_season",NA
"36",2015,"ROB","other_season",NA
"37",2016,"LOB","Fry_season",NA
"38",2016,"LOB","other_season",NA
"39",2016,"MC","Fry_season",0
"40",2016,"MC","other_season",0
"41",2016,"ROB","Fry_season",NA
"42",2016,"ROB","other_season",NA
