"","V1","V2","V3","Type","Species","Life_Stage","Hydraulic","Node"
"1",160.893556497286,0.0388075151688402,123.534593369641,"Q_limit","Typha","Seedling","Depth","11101250"
"2",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"3",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"4",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"5",124.275309732307,0.00776407718678771,93.8057670961041,"Q_limit","Typha","Seedling","Depth","11101250"
"6",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"7",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"8",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"9",8327.5,8327.5,8327.5,"Q_limit","Typha","Seedling","Depth","11101250"
"10",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"11",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"12",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","11101250"
"13",30.0306970266758,30.0277410824281,30.0301410979322,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"14",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"15",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"16",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"17",295.88434390704,436.092343968,305.028343968,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"18",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"19",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"20",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"21",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"22",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"23",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
"24",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","11101250"
