"","V1","V2","V3","Type","Species","Life_Stage","Hydraulic","Node"
"1",2884.02474040392,NA,1771.07193550427,"Q_limit","Typha","Seedling","Depth","LA2"
"2",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"3",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"4",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"5",2475.77093567087,NA,1472.60042556269,"Q_limit","Typha","Seedling","Depth","LA2"
"6",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"7",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"8",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"9",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"10",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"11",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"12",NA,NA,NA,"Q_limit","Typha","Seedling","Depth","LA2"
"13",30.0303861364389,NA,30.0307089068545,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"14",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"15",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"16",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"17",21.0870738995588,NA,21.0871116112881,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"18",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"19",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"20",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"21",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"22",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"23",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
"24",NA,NA,NA,"Hydraulic_limit","Typha","Seedling","Depth","LA2"
