"","V1","Type","Species","Life_Stage","Hydraulic","Node"
"1",27365.45703125,"Q_limit","Willow","Seedling","Shear","F45B"
"2",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"3",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"4",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"5",16075.1508970004,"Q_limit","Willow","Seedling","Shear","F45B"
"6",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"7",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"8",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"9",0.67080113559859,"Q_limit","Willow","Seedling","Shear","F45B"
"10",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"11",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"12",NA,"Q_limit","Willow","Seedling","Shear","F45B"
"13",38.1227074508508,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"14",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"15",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"16",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"17",21.6303262316911,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"18",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"19",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"20",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"21",0.533455392809608,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"22",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"23",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
"24",NA,"Hydraulic_limit","Willow","Seedling","Shear","F45B"
