"","Node","Cladophora_Adult","SAS_Fry","Typha_Adult","Willow_Adult","Willow_Seedling","Steelhead_Migration","SAS_Adult","Steelhead_Smolts","Willow_Germination","SAS_Juvenile","Typha_Seedling","Steelhead_Migration_Prolonged"
"1","11101250","Low","Low","Partial","High","High","High","Low","High","Low","Low","Low","Partial"
"2","F300","Partial","Low","Partial","High","High","High","Partial","High","Low","Partial","Low","High"
"3","F319","Partial","Low","Partial","High","Low","High","Partial","High",NA,"Partial","Low","High"
"4","F34D","Partial","Low","Partial","High","Low","High","Partial","High",NA,"High","Low","High"
"5","F37B","Low","Low","Partial","High","Low","Low","Low","Partial","Low","Low","Low","Low"
"6","F37BHigh","Low","Low","Partial","High","High","Low","Low","Low","Low","Low","Low","Low"
"7","F37BLow","Low","Low","Partial","High","Low","Low","Low","Partial","Low","Low","Low","Low"
"8","F45B","Low","Low","Low","High","High","Low","Low","Low","Low","Low","Low","Low"
"9","F57C","High","Low","Partial","High","High","High","Partial","High","Low","Partial","Partial","High"
"10","GLEN","Low","Low","Partial","High","Partial","High","Partial","High","Low","Partial","Partial","High"
"11","LA1","Low","Low","Partial","High","Low","High","Partial","High",NA,"Partial","Low","High"
"12","LA11","Partial","Low","Partial","High","High","High","Partial","High","Low","Partial","Partial","High"
"13","LA13","Partial","Low","Partial","High","Low","Low","Partial","Low","Low","Partial","Partial","Low"
"14","LA14","High","Low","Partial","High","High","High","Partial","High","Low","Partial","Partial","High"
"15","LA2","Low","Low","Low","High","High","High","Partial","High","Low","Partial","Low","High"
"16","LA20","Partial","Low","Partial","High","High","Partial","Partial","Partial","Low","Partial","Partial","Partial"
"17","LA202","Low","Low","Low","High","High","High","Low","High","Low","Low","Low","High"
"18","LA202Jan","Low","Low","Low","High","High","High","Low","High","Low","Low","Low","High"
"19","LA3","High","Low","Partial","High","Low","High","Partial","High","Low","Partial","Partial","High"
"20","LA8","High","Low","Partial","High","High","High","Partial","High","Low","Partial","Partial","High"
