"","Scenario","Node","Cladophora_Adult","SAS_Adult","SAS_fry","SAS_juvenile","Steelhead_Migration","Steelhead_Prolonged","Steelhead_Smolts","Typha_Adult","Typha_Seedling","Willow_Germination"
"1",1,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"2",1,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"3",2,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"4",2,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"5",3,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"6",3,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"7",4,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"8",4,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"9",5,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"10",5,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"11",6,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"12",6,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"13",7,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"14",7,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"15",8,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"16",8,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"17",9,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"18",9,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"19",10,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"20",10,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"21",11,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"22",11,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"23",12,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"24",12,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"25",13,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"26",13,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"27",14,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"28",14,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"29",15,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"30",15,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"31",16,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"32",16,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"33",17,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"34",17,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"35",18,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"36",18,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"37",19,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"38",19,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"39",20,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"40",20,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"41",21,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"42",21,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"43",22,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"44",22,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"45",23,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"46",23,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"47",24,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"48",24,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"49",25,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"50",25,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"51",26,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"52",26,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"53",27,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"54",27,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"55",28,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"56",28,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"57",29,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"58",29,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"59",30,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"60",30,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"61",31,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"62",31,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"63",32,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"64",32,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"65",33,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"66",33,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"67",34,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"68",34,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"69",35,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"70",35,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"71",36,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"72",36,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"73",37,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"74",37,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"75",38,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"76",38,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"77",39,"GLEN","Low","Partial","Low","Partial","Partial","Partial","Partial","Partial","Partial","Low"
"78",39,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"79",40,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"80",40,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"81",41,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"82",41,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"83",42,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"84",42,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"85",43,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"86",43,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"87",44,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"88",44,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"89",45,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"90",45,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"91",46,"GLEN","Low","Partial","Low","Partial","Low","Low","High","Partial","Partial","Low"
"92",46,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"93",47,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"94",47,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"95",48,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"96",48,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"97",49,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"98",49,"F319","Low","High","Low","High","Low","Low","High","Partial","Low","Low"
"99",50,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
"100",50,"F319","Low","Partial","Low","High","Low","Low","High","Partial","Low","Low"
"101",51,"GLEN","Low","Partial","Low","High","Low","Low","High","Partial","Partial","Low"
