"","Depth","Abundance","Dataset"
"83",40,5,"Wulff"
"84",40,5,"Wulff"
"85",37,6,"Wulff"
"86",37,4,"Wulff"
"87",35,2,"Wulff"
"88",34,4,"Wulff"
"89",36,10,"Wulff"
"90",40,10,"Wulff"
"91",35,3,"Wulff"
"92",35,2,"Wulff"
"93",73,5,"Wulff"
"94",73,5,"Wulff"
"95",90,10,"Wulff"
"96",120,10,"Wulff"
"97",50,5,"Wulff"
"98",58,3,"Wulff"
"99",56,1,"Wulff"
"100",56,7,"Wulff"
"101",32,1,"Wulff"
"102",47,2,"Wulff"
"103",48,2,"Wulff"
"104",48,3,"Wulff"
"105",47,5,"Wulff"
"106",47,5,"Wulff"
"107",44,5,"Wulff"
"108",44,5,"Wulff"
"109",45,5,"Wulff"
"110",48,2,"Wulff"
"111",48,3,"Wulff"
"112",50,5,"Wulff"
"113",50,5,"Wulff"
"114",34,5,"Wulff"
"115",34,5,"Wulff"
"116",30,5,"Wulff"
"117",30,5,"Wulff"
"118",39,5,"Wulff"
"119",39,5,"Wulff"
"120",35,1,"Wulff"
"121",44,5,"Wulff"
"122",44,5,"Wulff"
"123",46,10,"Wulff"
"124",46,10,"Wulff"
"125",48,10,"Wulff"
"126",48,10,"Wulff"
"127",46,5,"Wulff"
"128",46,5,"Wulff"
"129",50,5,"Wulff"
"130",50,5,"Wulff"
"131",50,10,"Wulff"
"132",50,5,"Wulff"
"133",50,5,"Wulff"
"134",42,5,"Wulff"
"135",42,5,"Wulff"
"136",42,5,"Wulff"
"137",30,5,"Wulff"
"138",30,5,"Wulff"
"139",24,5,"Wulff"
"140",32,5,"Wulff"
"141",32,1,"Wulff"
"142",34,5,"Wulff"
"143",34,2,"Wulff"
"144",25,1,"Wulff"
"145",34,5,"Wulff"
"146",25,4,"Wulff"
"147",32,3,"Wulff"
"148",50,5,"Wulff"
"149",54,1,"Wulff"
"150",54,4,"Wulff"
"151",26,1,"Wulff"
"152",36,5,"Wulff"
"153",4,1,"Wulff"
"154",4,4,"Wulff"
"155",29,2,"Wulff"
"156",29,1,"Wulff"
"157",28,1,"Wulff"
"158",32,5,"Wulff"
"159",36,3,"Wulff"
"160",35,4,"Wulff"
"161",25,2,"Wulff"
"162",39,5,"Wulff"
"163",39,5,"Wulff"
"164",48,10,"Wulff"
"165",48,10,"Wulff"
"166",35,10,"Wulff"
"167",40,2,"Wulff"
"168",40,5,"Wulff"
"169",40,5,"Wulff"
"170",102,5,"Wulff"
"171",102,5,"Wulff"
"172",38,5,"Wulff"
"173",38,5,"Wulff"
"174",51,1,"Wulff"
"175",33,5,"Wulff"
"176",46,5,"Wulff"
"177",36,1,"Wulff"
"178",48,5,"Wulff"
"179",48,5,"Wulff"
"180",48,5,"Wulff"
"181",48,5,"Wulff"
"182",52,1,"Wulff"
"183",52,2,"Wulff"
"184",52,5,"Wulff"
"185",67,10,"Wulff"
"186",60,5,"Wulff"
"187",60,5,"Wulff"
"188",53,3,"Wulff"
"189",53,5,"Wulff"
"190",32,3,"Wulff"
"191",32,2,"Wulff"
"192",37,5,"Wulff"
"193",37,5,"Wulff"
"194",38,3,"Wulff"
"195",38,5,"Wulff"
"196",31,5,"Wulff"
"197",31,2,"Wulff"
"198",31,3,"Wulff"
"199",28,5,"Wulff"
"200",28,5,"Wulff"
"201",32,3,"Wulff"
"202",14,5,"Wulff"
"203",14,5,"Wulff"
"204",52,5,"Wulff"
"205",52,5,"Wulff"
"206",74,2,"Wulff"
"207",74,3,"Wulff"
"208",74,5,"Wulff"
"209",44,3,"Wulff"
"210",44,3,"Wulff"
"211",67,3,"Wulff"
"212",67,3,"Wulff"
"213",49,4,"Wulff"
"214",36,5,"Wulff"
"215",41,1,"Wulff"
"216",57,3,"Wulff"
"217",62,1,"Wulff"
"218",36,2,"Wulff"
"219",44,3,"Wulff"
"220",54,2,"Wulff"
"221",44,2,"Wulff"
"222",98,1,"Wulff"
"223",36,1,"Wulff"
"224",36,1,"Wulff"
"225",56,1,"Wulff"
"226",84,1,"Wulff"
"227",86,1,"Wulff"
"228",52,1,"Wulff"
"229",38,2,"Wulff"
"230",62,1,"Wulff"
"231",55,1,"Wulff"
"232",106,2,"Wulff"
"233",106,2,"Wulff"
"234",40,1,"Wulff"
"235",57,1,"Wulff"
"236",34,1,"Wulff"
"237",48,1,"Wulff"
"238",48,1,"Wulff"
"239",44,1,"Wulff"
"240",56,1,"Wulff"
"241",40,1,"Wulff"
"242",80,1,"Wulff"
"243",54,1,"Wulff"
"244",38,1,"Wulff"
"245",38,1,"Wulff"
"246",72,1,"Wulff"
"247",80,2,"Wulff"
"248",84,1,"Wulff"
"249",34,1,"Wulff"
"250",53,1,"Wulff"
"251",70,3,"Wulff"
"252",42,2,"Wulff"
"253",45,1,"Wulff"
"254",40,2,"Wulff"
"255",45,3,"Wulff"
"256",45,1,"Wulff"
"257",48,1,"Wulff"
"258",38,1,"Wulff"
"259",38,1,"Wulff"
"260",36,1,"Wulff"
"261",48,4,"Wulff"
"262",4,1,"Saiki"
"263",9,2,"Saiki"
"264",10,2,"Saiki"
"265",11,1,"Saiki"
"266",12,1,"Saiki"
"267",13,4,"Saiki"
"268",14,8,"Saiki"
"269",15,10,"Saiki"
"270",16,3,"Saiki"
"271",17,10,"Saiki"
"272",18,12,"Saiki"
"273",19,8,"Saiki"
"274",20,12,"Saiki"
"275",21,12,"Saiki"
"276",22,11,"Saiki"
"277",23,8,"Saiki"
"278",24,6,"Saiki"
"279",25,5,"Saiki"
"280",26,9,"Saiki"
"281",27,9,"Saiki"
"282",28,16,"Saiki"
"283",29,10,"Saiki"
"284",30,23,"Saiki"
"285",31,10,"Saiki"
"286",32,7,"Saiki"
"287",33,3,"Saiki"
"288",34,3,"Saiki"
"289",35,9,"Saiki"
"290",36,10,"Saiki"
"291",37,7,"Saiki"
"292",38,8,"Saiki"
"293",39,9,"Saiki"
"294",40,8,"Saiki"
"295",41,8,"Saiki"
"296",42,6,"Saiki"
"297",43,1,"Saiki"
"298",44,4,"Saiki"
"299",45,7,"Saiki"
"300",46,3,"Saiki"
"301",47,3,"Saiki"
"302",48,4,"Saiki"
"303",49,7,"Saiki"
"304",50,2,"Saiki"
"305",51,3,"Saiki"
"306",52,1,"Saiki"
"307",53,3,"Saiki"
"308",54,2,"Saiki"
"309",55,4,"Saiki"
"310",56,4,"Saiki"
"311",58,1,"Saiki"
"312",60,2,"Saiki"
"313",62,1,"Saiki"
"314",63,1,"Saiki"
"315",67,1,"Saiki"
"316",68,2,"Saiki"
"317",69,1,"Saiki"
"318",70,1,"Saiki"
"319",75,2,"Saiki"
"320",80,1,"Saiki"
"321",81,2,"Saiki"
"322",83,1,"Saiki"
"323",86,1,"Saiki"
"324",87,1,"Saiki"
"325",91,1,"Saiki"
"326",120,1,"Saiki"
"1100",16,1,"SAWA"
"327",35,11,"SAWA"
"410",32,71,"SAWA"
"510",37,59,"SAWA"
"610",70,111,"SAWA"
"710",23,9,"SAWA"
"810",25,15,"SAWA"
"910",41,19,"SAWA"
"1110",27,2,"SAWA"
"331",49,1,"SAWA"
"381",24,2,"SAWA"
